date,last_month,mean_relative_humidity
Jan-20,72,73
Feb-20,,73
Mar-20,,73
Apr-20,,72
May-20,,72
Jun-20,,72
Jul-20,,72
Aug-20,,72
Sep-20,,72
Oct-20,,72
Nov-20,,72
Dec-20,,72
Jan-21,,72
Feb-21,,72
Mar-21,,72
Apr-21,,72
May-21,,72
Jun-21,,72
Jul-21,,72
Aug-21,,72
Sep-21,,72
Oct-21,,72
Nov-21,,72
Dec-21,,72
