date,last_month,solar_radiation
Jan-20,,10.1
Feb-20,,10.2
Mar-20,,10.5
Apr-20,,10.4
May-20,,10.2
Jun-20,,10.6
Jul-20,,10
Aug-20,,9.9
Sep-20,,9.3
Oct-20,,10.3
Nov-20,,10.2
Dec-20,,10.3
Jan-21,,10.3
Feb-21,,10.2
Mar-21,,10.3
Apr-21,,10.3
May-21,,10.2
Jun-21,,10.3
Jul-21,,10.3
Aug-21,,10.2
Sep-21,,10.3
Oct-21,,10.2
Nov-21,,10.3
Dec-21,,10.3
