date,last_month,mean_air_temperature
Jan-20,21.1,21.3
Feb-20,,19.8
Mar-20,,19.8
Apr-20,,21
May-20,,21.3
Jun-20,,18.9
Jul-20,,21.1
Aug-20,,21
Sep-20,,20.7
Oct-20,,21.2
Nov-20,,21.3
Dec-20,,19.3
Jan-21,,21
Feb-21,,20.8
Mar-21,,21.3
Apr-21,,19.2
May-21,,21.3
Jun-21,,19.3
Jul-21,,21.1
Aug-21,,21.1
Sep-21,,21.2
Oct-21,,21.1
Nov-21,,21.1
Dec-21,,21.1
