year,total_precipitation,mean_relative_humidity,mean_air_temperature,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_wind_speed
Jan-17,92.5,64,18.4,23,77,8.4,4.7
Feb-17,84,63,17.1,25,79.9,10.5,5.2
Mar-17,96.5,67,18.3,28,102.4,12.3,5
Apr-17,67,71,21.6,34,128.6,15.7,5.2
May-17,315.5,78,24.2,27,112.1,15.7,4.5
Jun-17,444.5,85,26.6,26,107.7,15.6,5.1
Jul-17,44,74,29.9,64,267.2,23.1,3.7
Aug-17,56.5,74,30.4,60,242.1,21.3,4.8
Sep-17,239.5,75,28.9,50,186.1,17.1,4.9
Oct-17,270,73,27,44,155.8,14.4,6.3
Nov-17,146.5,71,22.8,26,85.6,9.5,5.4
Dec-17,50.5,61,18,31,101.5,9,5.3
Jan-18,150.5,67,17.2,23,74.9,8.1,5.5
Feb-18,84,66,16.9,31,97.9,11.4,5.4
Mar-18,100.5,67,19.9,49,181.6,16.9,5.2
Apr-18,126,72,21.6,42,161.3,17.8,4.9
May-18,33,78,25.6,58,238.4,22.3,4.7
Jun-18,218.5,82,27.8,42,171.7,19.2,5.2
Jul-18,429,82,28.3,43,179.7,18.7,6.5
Aug-18,310,82,28.5,50,203.4,18.9,5.4
Sep-18,334.5,79,28.4,47,174.6,17.2,5.5
Oct-18,375,72,23.9,43,151.8,13.1,5.2
Nov-18,160.5,71,23.1,48,155.9,12.1,4.8
Dec-18,148,73,20.4,26,85.3,8.1,5.2
Jan-19,55,67,18.1,29,97.4,9.3,4.6
Feb-19,156.5,79,20,25,78.4,10.7,4.4
Mar-19,183.5,70,19.9,35,129.8,14.1,5.5
Apr-19,128,78,22.3,31,119.2,15.2,5
May-19,208.5,74,24.2,36,150.7,17.5,4.4
Jun-19,595.5,89,26.5,22,90.7,14.7,5.2
Jul-19,284,84,28.9,47,196.2,19.2,5.4
Aug-19,208,83,29.2,47,191.3,18.9,5.6
Sep-19,477.5,82,28,42,154.2,15.7,6.2
Oct-19,104.5,75,26,56,198.8,15.8,5
Nov-19,136,70,23.1,42,135.7,11.5,5.5
Dec-19,100.5,73,20,38,123.2,9.4,5.1
