year,total_precipitation,mean_relative_humidity,mean_air_temperature,mean_wind_speed,total_sunshine_duration,percentage_possible_sunshine,solar_radiation
Jan-17,92.5,64,18.4,4.7,77,23,8.4
Feb-17,84,63,17.1,5.2,79.9,25,10.5
Mar-17,96.5,67,18.3,5,102.4,28,12.3
Apr-17,67,71,21.6,5.2,128.6,34,15.7
May-17,315.5,78,24.2,4.5,112.1,27,15.7
Jun-17,444.5,85,26.6,5.1,107.7,26,15.6
Jul-17,44,74,29.9,3.7,267.2,64,23.1
Aug-17,56.5,74,30.4,4.8,242.1,60,21.3
Sep-17,239.5,75,28.9,4.9,186.1,50,17.1
Oct-17,270,73,27,6.3,155.8,44,14.4
Nov-17,146.5,71,22.8,5.4,85.6,26,9.5
Dec-17,50.5,61,18,5.3,101.5,31,9
Jan-18,150.5,67,17.2,5.5,74.9,23,8.1
Feb-18,84,66,16.9,5.4,97.9,31,11.4
Mar-18,100.5,67,19.9,5.2,181.6,49,16.9
Apr-18,126,72,21.6,4.9,161.3,42,17.8
May-18,33,78,25.6,4.7,238.4,58,22.3
Jun-18,218.5,82,27.8,5.2,171.7,42,19.2
Jul-18,429,82,28.3,6.5,179.7,43,18.7
Aug-18,310,82,28.5,5.4,203.4,50,18.9
Sep-18,334.5,79,28.4,5.5,174.6,47,17.2
Oct-18,375,72,23.9,5.2,151.8,43,13.1
Nov-18,160.5,71,23.1,4.8,155.9,48,12.1
Dec-18,148,73,20.4,5.2,85.3,26,8.1
Jan-19,55,67,18.1,4.6,97.4,29,9.3
Feb-19,156.5,79,20,4.4,78.4,25,10.7
Mar-19,183.5,70,19.9,5.5,129.8,35,14.1
Apr-19,128,78,22.3,5,119.2,31,15.2
May-19,208.5,74,24.2,4.4,150.7,36,17.5
Jun-19,595.5,89,26.5,5.2,90.7,22,14.7
Jul-19,284,84,28.9,5.4,196.2,47,19.2
Aug-19,208,83,29.2,5.6,191.3,47,18.9
Sep-19,477.5,82,28,6.2,154.2,42,15.7
Oct-19,104.5,75,26,5,198.8,56,15.8
Nov-19,136,70,23.1,5.5,135.7,42,11.5
Dec-19,100.5,73,20,5.1,123.2,38,9.4
